1	3	1	1	 0.00	0.70	0.40	0.00	 0.00	9.20	0.20	126	270	-74.87	-0.00	3.12	0.00	-74.87	0.00	374.36	0.00	 1.00
1	3	1	2	 0.00	0.70	0.40	0.00	 180.00	10.80	0.20	136	280	87.89	-0.00	-3.66	0.00	87.89	-0.00	-439.46	0.00	 1.00
1	3	1	3	 0.00	0.70	0.40	0.00	 180.00	9.20	0.20	133	277	74.87	-0.00	-3.12	0.00	74.87	-0.00	-374.36	0.00	 0.00
1	3	1	4	 0.00	0.70	0.40	0.00	 180.00	9.20	0.20	122	266	74.87	-0.00	-3.12	0.00	74.87	-0.00	-374.36	0.00	 1.00
1	3	1	5	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	155	299	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 1.00
1	3	1	6	 0.00	0.70	0.40	0.00	 180.00	11.60	0.20	150	294	94.40	-0.00	-3.93	0.00	94.40	-0.00	-472.02	0.00	 1.00
1	3	1	7	 0.00	0.70	0.40	0.00	 180.00	10.80	0.20	133	277	87.89	-0.00	-3.66	0.00	87.89	-0.00	-439.46	0.00	 0.00
1	3	1	8	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	147	291	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 1.00
1	3	1	9	 0.00	0.70	0.40	0.00	 180.00	9.20	0.20	125	269	74.87	-0.00	-3.12	0.00	74.87	-0.00	-374.36	0.00	 0.00
1	3	1	10	 0.00	0.70	0.40	0.00	 180.00	8.40	0.20	139	283	68.36	-0.00	-2.85	0.00	68.36	-0.00	-341.81	0.00	 0.00
1	3	1	11	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	137	281	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 0.00
1	3	1	12	 0.00	0.70	0.40	0.00	 0.00	10.80	0.20	128	272	-87.89	-0.00	3.66	0.00	-87.89	0.00	439.46	0.00	 0.00
1	3	1	13	 0.00	0.70	0.40	0.00	 180.00	9.20	0.20	122	266	74.87	-0.00	-3.12	0.00	74.87	-0.00	-374.36	0.00	 0.00
1	3	1	14	 0.00	0.70	0.40	0.00	 0.00	11.60	0.20	147	291	-94.40	-0.00	3.93	0.00	-94.40	0.00	472.02	0.00	 0.00
1	3	1	15	 0.00	0.70	0.40	0.00	 180.00	11.60	0.20	178	322	94.40	-0.00	-3.93	0.00	94.40	-0.00	-472.02	0.00	 1.00
1	3	1	16	 0.00	0.70	0.40	0.00	 180.00	10.00	0.20	180	324	81.38	-0.00	-3.39	0.00	81.38	-0.00	-406.91	0.00	 1.00
1	3	1	17	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	176	320	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 0.00
1	3	1	18	 0.00	0.70	0.40	0.00	 180.00	11.60	0.20	147	291	94.40	-0.00	-3.93	0.00	94.40	-0.00	-472.02	0.00	 1.00
1	3	1	19	 0.00	0.70	0.40	0.00	 180.00	9.20	0.20	154	298	74.87	-0.00	-3.12	0.00	74.87	-0.00	-374.36	0.00	 0.00
1	3	1	20	 0.00	0.70	0.40	0.00	 0.00	8.40	0.20	172	316	-68.36	-0.00	2.85	0.00	-68.36	0.00	341.81	0.00	 0.00
1	3	1	21	 0.00	0.70	0.40	0.00	 0.00	8.40	0.20	175	319	-68.36	-0.00	2.85	0.00	-68.36	0.00	341.81	0.00	 0.00
1	3	1	22	 0.00	0.70	0.40	0.00	 180.00	10.80	0.20	163	307	87.89	-0.00	-3.66	0.00	87.89	-0.00	-439.46	0.00	 1.00
1	3	1	23	 0.00	0.70	0.40	0.00	 180.00	10.00	0.20	126	270	81.38	-0.00	-3.39	0.00	81.38	-0.00	-406.91	0.00	 0.00
1	3	1	24	 0.00	0.70	0.40	0.00	 0.00	11.60	0.20	160	304	-94.40	-0.00	3.93	0.00	-94.40	0.00	472.02	0.00	 1.00
1	3	1	25	 0.00	0.70	0.40	0.00	 180.00	8.40	0.20	145	289	68.36	-0.00	-2.85	0.00	68.36	-0.00	-341.81	0.00	 0.00
1	3	1	26	 0.00	0.70	0.40	0.00	 180.00	10.00	0.20	133	277	81.38	-0.00	-3.39	0.00	81.38	-0.00	-406.91	0.00	 0.00
1	3	1	27	 0.00	0.70	0.40	0.00	 0.00	8.40	0.20	170	314	-68.36	-0.00	2.85	0.00	-68.36	0.00	341.81	0.00	 0.00
1	3	1	28	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	132	276	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 0.00
1	3	1	29	 0.00	0.70	0.40	0.00	 0.00	11.60	0.20	170	314	-94.40	-0.00	3.93	0.00	-94.40	0.00	472.02	0.00	 0.00
1	3	1	30	 0.00	0.70	0.40	0.00	 0.00	10.00	0.20	127	271	-81.38	-0.00	3.39	0.00	-81.38	0.00	406.91	0.00	 0.00
1	3	1	31	 0.00	0.70	0.40	0.00	 180.00	11.60	0.20	169	313	94.40	-0.00	-3.93	0.00	94.40	-0.00	-472.02	0.00	 1.00
1	3	1	32	 0.00	0.70	0.40	0.00	 180.00	10.80	0.20	135	279	87.89	-0.00	-3.66	0.00	87.89	-0.00	-439.46	0.00	 0.00
1	3	1	33	 0.00	0.70	0.40	0.00	 0.00	10.80	0.20	159	303	-87.89	-0.00	3.66	0.00	-87.89	0.00	439.46	0.00	 1.00
